"region";"hustyp";"2015"
"1485 Uddevalla";"flerbostadshus";13532
"1485 Uddevalla";"övriga hus";507
"1485 Uddevalla";"specialbostäder";1041
"1486 Strömstad";"småhus";3623
"1486 Strömstad";"flerbostadshus";2399
"1486 Strömstad";"övriga hus";127
"1486 Strömstad";"specialbostäder";222
"1487 Vänersborg";"småhus";9113
"1487 Vänersborg";"flerbostadshus";8131
"1487 Vänersborg";"övriga hus";230
"1487 Vänersborg";"specialbostäder";505
"1488 Trollhättan";"småhus";10619
"1488 Trollhättan";"flerbostadshus";14992
"1488 Trollhättan";"övriga hus";232
"1488 Trollhättan";"specialbostäder";1721
"1489 Alingsås";"småhus";9737
"1489 Alingsås";"flerbostadshus";7475
"1489 Alingsås";"övriga hus";392
"1489 Alingsås";"specialbostäder";560
"1490 Borås";"småhus";19451
"1490 Borås";"flerbostadshus";29462
"1490 Borås";"övriga hus";802
"1490 Borås";"specialbostäder";2249
"1491 Ulricehamn";"småhus";6866
"1491 Ulricehamn";"flerbostadshus";3138
"1491 Ulricehamn";"övriga hus";416
